id,title,lat,lng,address,city,state,zip
10001,SOUTHEAST HEALTH MEDICAL CENTER,31.216221,-85.362862,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301
10005,MARSHALL MEDICAL CENTERS,34.213329,-86.137692,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957
10006,NORTH ALABAMA MEDICAL CENTER,34.80528,-87.646046,1701 VETERANS DRIVE,FLORENCE,AL,35630
10007,MIZELL MEMORIAL HOSPITAL,31.291546,-86.255295,702 N MAIN ST,OPP,AL,36467
10008,CRENSHAW COMMUNITY HOSPITAL,31.754655,-86.291595,101 HOSPITAL CIRCLE,LUVERNE,AL,36049
10011,ST. VINCENT'S EAST,33.595752,-86.667638,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235
10012,DEKALB REGIONAL MEDICAL CENTER,34.466822,-85.641498,200 MED CENTER DRIVE,FORT PAYNE,AL,35968
10016,SHELBY BAPTIST MEDICAL CENTER,33.25215,-86.813487,1000 FIRST STREET NORTH,ALABASTER,AL,35007
10018,CALLAHAN EYE HOSPITAL,33.503748,-86.802737,1720 UNIVERSITY BLVD STE 305,BIRMINGHAM,AL,35233
10019,HELEN KELLER HOSPITAL,34.745892,-87.699051,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660
10021,DALE MEDICAL CENTER,31.451815,-85.631094,126 HOSPITAL AVE,OZARK,AL,36360
10022,CHEROKEE MEDICAL CENTER,34.162566,-85.651092,400 NORTHWOOD DR,CENTRE,AL,35960
10023,BAPTIST MEDICAL CENTER SOUTH,32.327614,-86.277476,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116
10024,JACKSON HOSPITAL & CLINIC INC,32.366928,-86.285116,1725 PINE STREET,MONTGOMERY,AL,36106
10029,THE EAST ALABAMA HEALTHCARE AUTHORITY,32.641796,-85.4033,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801
10033,UNIVERSITY OF ALABAMA HOSPITAL,33.518764,-86.810282,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233
10034,COMMUNITY HOSPITAL INC,32.534253,-85.91232,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078
10035,CULLMAN REGIONAL MEDICAL CENTER,34.209766,-86.752029,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058
10036,ANDALUSIA HEALTH,31.292782,-86.497593,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420
10039,HUNTSVILLE HOSPITAL,34.720723,-86.580458,101 SIVLEY RD,HUNTSVILLE,AL,35801
10040,GADSDEN REGIONAL MEDICAL CENTER,34.009284,-85.971315,1007 GOODYEAR AVENUE,GADSDEN,AL,35903
10044,MARION REGIONAL MEDICAL CENTER,34.125917,-87.991052,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570
10045,FAYETTE MEDICAL CENTER,33.707277,-87.824035,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555
10046,RIVERVIEW REGIONAL MEDICAL CENTER,34.004481,-86.003374,600 SOUTH THIRD STREET,GADSDEN,AL,35901
10049,MEDICAL CENTER ENTERPRISE,31.318746,-85.85516,400 N EDWARDS STREET,ENTERPRISE,AL,36330
10051,GREENE COUNTY HOSPITAL,32.843515,-87.889431,509 WILSON AVENUE,EUTAW,AL,35462
10052,LAKE MARTIN COMMUNITY HOSPITAL,32.820067,-85.741586,201 MARIARDEN ROAD,DADEVILLE,AL,36853
10055,FLOWERS HOSPITAL,31.238104,-85.457112,4370 WEST MAIN STREET,DOTHAN,AL,36305
10056,ST VINCENT'S BIRMINGHAM,33.507698,-86.788952,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205
10058,BIBB MEDICAL CENTER,32.951363,-87.1469,208 PIERSON AVE,CENTREVILLE,AL,35042
10059,LAWRENCE MEDICAL CENTER,34.482889,-87.285873,202 HOSPITAL STREET,MOULTON,AL,35650
10061,HIGHLANDS MEDICAL CENTER,34.662195,-86.047411,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768
10062,WIREGRASS MEDICAL CENTER,31.049025,-85.891281,1200 W MAPLE AVENUE,GENEVA,AL,36340
10065,RUSSELL MEDICAL CENTER,32.916204,-85.952678,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010
10069,MEDICAL CENTER BARBOUR,31.88871,-85.156179,820 W WASHINGTON ST,EUFAULA,AL,36027
10073,CLAY COUNTY HOSPITAL,33.277252,-85.822608,83825 HIGHWAY 9    P O BOX 1270,ASHLAND,AL,36251
10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,33.656968,-85.823381,400 EAST 10TH STREET,ANNISTON,AL,36207
10079,ATHENS LIMESTONE HOSPITAL,34.804255,-86.979031,700 WEST MARKET STREET,ATHENS,AL,35611
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,30.425864,-87.684393,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535
10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,34.591042,-86.972731,1201 7TH STREET SE,DECATUR,AL,35601
10086,NORTHWEST MEDICAL CENTER,33.930415,-87.825287,1530 U S HIGHWAY 43,WINFIELD,AL,35594
10087,USA HEALTH UNIVERSITY HOSPITAL,30.708272,-88.099462,2451 FILLINGIM STREET,MOBILE,AL,36617
10089,WALKER BAPTIST MEDICAL CENTER,33.841887,-87.238784,3400 HIGHWAY 78 EAST,JASPER,AL,35502
10090,PROVIDENCE HOSPITAL,30.679394,-88.19926,6801 AIRPORT BOULEVARD,MOBILE,AL,36608
10091,GROVE HILL MEMORIAL HOSPITAL,31.718348,-87.774402,295 JACKSON HWY S,GROVE HILL,AL,36451
10092,DCH REGIONAL MEDICAL CENTER,33.205212,-87.525457,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401
10095,HALE COUNTY HOSPITAL,32.689402,-87.47062,508 GREEN STREET,GREENSBORO,AL,36744
10097,ELMORE COMMUNITY HOSPITAL,32.552112,-86.186674,500 HOSPITAL DRIVE,WETUMPKA,AL,36092
10099,D W MCMILLAN MEMORIAL HOSPITAL,31.127286,-87.072383,1301 BELLEVILLE AVENUE,BREWTON,AL,36426
10100,THOMAS HOSPITAL,30.518976,-87.888333,750 MORPHY AVENUE,FAIRHOPE,AL,36532
10101,CITIZENS BAPTIST MEDICAL CENTER,33.439946,-86.092019,604 STONE AVENUE,TALLADEGA,AL,35161
10102,J PAUL JONES HOSPITAL,31.997485,-87.299585,317 MCWILLIAMS AVENUE,CAMDEN,AL,36726
10103,PRINCETON BAPTIST MEDICAL CENTER,33.498545,-86.846367,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211
10104,GRANDVIEW MEDICAL CENTER,33.433142,-86.717014,3690 GRANDVIEW PARKWAY,BIRMINGHAM,AL,35243
10108,PRATTVILLE BAPTIST HOSPITAL,32.463516,-86.451778,124 S MEMORIAL DR,PRATTVILLE,AL,36067
10110,BULLOCK COUNTY HOSPITAL,32.14666,-85.717391,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089
10112,WHITFIELD REGIONAL HOSPITAL,32.505363,-87.837262,105 HIGHWAY 80 EAST,DEMOPOLIS,AL,36732
10113,MOBILE INFIRMARY MEDICAL CENTER,30.696725,-88.080267,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36607
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",33.372523,-86.990444,995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35021
10118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,32.429492,-87.055896,1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701
10120,MONROE COUNTY HOSPITAL,31.497288,-87.319468,2016 SOUTH ALABAMA AVENUE,MONROEVILLE,AL,36460
